cha taehyun	song hyegyo
terima kasih .	kamu ingin jus ?
kamu ingin jus ?	pesan berikut ditransmisikan pada permintaan new jersey state police department .
pesan berikut ditransmisikan pada permintaan new jersey state police department .	pihak berwenang merekomendasikan bahwa tindakan berikut harus diambil oleh semua anggota masyarakat .
pihak berwenang merekomendasikan bahwa tindakan berikut harus diambil oleh semua anggota masyarakat .	tinggal di dalam rumah jika mungkin .
tinggal di dalam rumah jika mungkin .	memiliki cukup makanan dan pasokan air untuk melindungi selama satu sampai dua minggu .
memiliki cukup makanan dan pasokan air untuk melindungi selama satu sampai dua minggu .	pesan berikut ditransmisikan pada permintaan dari new jersey state departemen kepolisian .
pesan berikut ditransmisikan pada permintaan dari new jersey state departemen kepolisian .	sebuah strain virus tidak dikenal dengan cepat menyebar di negara bagian new jersey .
sebuah strain virus tidak dikenal dengan cepat menyebar di negara bagian new jersey .	dia menangis .
dia menangis .	terima kasih , tommy .
terima kasih , tommy .	aku dulu bekerja di tempattempat berbahaya dan orangorang yang pindah selamat , dan mereka yang
aku dulu bekerja di tempattempat berbahaya dan orangorang yang pindah selamat , dan mereka yang	gerakan adalah hidup .
gerakan adalah hidup .	kamu memiliki kesempatan yang lebih baik jika kamu datang dengan kami .
kamu memiliki kesempatan yang lebih baik jika kamu datang dengan kami .	kamu memerlukan sesuatu sebelum kamu pergi ?
kamu memerlukan sesuatu sebelum kamu pergi ?	oke .
oke .	ayolah .
ayolah .	ayolah .
ayolah .	kami harus pergi bersama mereka .
kami harus pergi bersama mereka .	ada tempat untuk pergi .
ada tempat untuk pergi .	apa yang akan terjadi ketika makanan sudah hilang ?
apa yang akan terjadi ketika makanan sudah hilang ?	oke , ayolah .
oke , ayolah .	aku takut .
aku takut .	connie , ada helikopter menunggu kami di atas atap .
connie , ada helikopter menunggu kami di atas atap .	jauhkan mata kamu pada mommy dan daddy , oke ?
jauhkan mata kamu pada mommy dan daddy , oke ?	menjadi seorang ninja yang tenang .
menjadi seorang ninja yang tenang .	hanya berjalanjalan di taman .
hanya berjalanjalan di taman .	bagaimana kami tahu mereka datang ?
bagaimana kami tahu mereka datang ?	mereka datang .
mereka datang .	siap ?
siap ?	oke , ayo , guys .
oke , ayo , guys .	ayo !
ayo !	ayo !
ayo !	up , up , up .
up , up , up .	ayolah , sayang .
ayolah , sayang .	pergi , pergi , pergi !
pergi , pergi , pergi !	ayolah , sayang !
ayolah , sayang !	pergi , pergi !
pergi , pergi !	pergi , girls !
pergi , girls !	gerry !
gerry !	ayolah .
ayolah .	gerry !
gerry !	girls , kembali !
girls , kembali !	watch out !
watch out !	!
!	gqi pergi ,
gqi pergi ,	ayo , cepat , girls !
ayo , cepat , girls !	letnan , aku tidak punya kontak .
letnan , aku tidak punya kontak .	aku berkata lagi , tidak ada kontak .
aku berkata lagi , tidak ada kontak .	ayo , mari kami pergi !
ayo , mari kami pergi !	karin !
karin !	karin !
karin !	iya .
iya .	pergi melalui pintu !
pergi melalui pintu !	gerry ?
gerry ?	itu mereka !
itu mereka !	ace , kami memiliki kontak yang positif .
ace , kami memiliki kontak yang positif .	itu target kami !
itu target kami !	dapatkan kami turun !
dapatkan kami turun !	ayah !
ayah !	ayah !
ayah !	bayi , kembali .
bayi , kembali .	ayah !
ayah !	gerry ?
gerry ?	gerry , apa ?
gerry , apa ?	tetap kembali !
tetap kembali !	baby !
baby !	tidak !
tidak !	seribu tujuh .
seribu tujuh .	seribu delapan .
seribu delapan .	ayah , turun tepi !
ayah , turun tepi !	gerry , please ?
gerry , please ?	seribu sepuluh .
seribu sepuluh .	seribu sebelas .
seribu sebelas .	aku mendapatkannya dalam mulutku .
aku mendapatkannya dalam mulutku .	kamu baikbaik saja .
kamu baikbaik saja .	kamu baikbaik saja .
kamu baikbaik saja .	go !
go !	go !
go !	ayolah .
ayolah .	ayolah .
ayolah .	mari kami pergi !
mari kami pergi !	mari kami pergi !
mari kami pergi !	ayo , mari kami pergi !
ayo , mari kami pergi !	kami harus pergi !
kami harus pergi !	kamu punya dia ?
kamu punya dia ?	ayo , mari kami pergi , mari kami pergi !
ayo , mari kami pergi , mari kami pergi !	lalu lintas perjalanan , ketinggian ribu .
lalu lintas perjalanan , ketinggian ribu .	heading .
heading .	belok kanan , pos , sekali jelas .
belok kanan , pos , sekali jelas .	tetap di bawah , .
tetap di bawah , .	jelas atas tanah , pos , angin jam lima .
jelas atas tanah , pos , angin jam lima .	ikuti l. s. o. arah .
ikuti l. s. o. arah .	persiapan untuk segera debu .
persiapan untuk segera debu .	gerry .
gerry .	terima kasih .
terima kasih .	senang bertemu kamu , teman aku .
senang bertemu kamu , teman aku .	tango lima , ini adalah perintah argus .
tango lima , ini adalah perintah argus .	dibersihkan untuk take off .
dibersihkan untuk take off .	tango lima .
tango lima .	wilco .
wilco .	karin , ke kanan .
karin , ke kanan .	ini bagus , kan ?
ini bagus , kan ?	tempat tidur !
tempat tidur !	tempat tidur kamu adalah nomor dua , tiga dan enam .
tempat tidur kamu adalah nomor dua , tiga dan enam .	silahkan membuat sendiri di rumah .
silahkan membuat sendiri di rumah .	kamu ingin bangun di sini ?
kamu ingin bangun di sini ?	nah , sayang .
nah , sayang .	itu bagus .
itu bagus .	kami tidak menjatuhkan jangkar lagi .
kami tidak menjatuhkan jangkar lagi .	kamu aman .
kamu aman .	bukan aku aku khawatirkan .
bukan aku aku khawatirkan .	mereka aman .
mereka aman .	bayi
bayi	ini lebih besar dari apartemen lama kami di nd .
ini lebih besar dari apartemen lama kami di nd .	perlu apaapa , karin ?
perlu apaapa , karin ?	air .
air .	aku akan mengatur .
aku akan mengatur .	apakah ini di seluruh dunia ?
apakah ini di seluruh dunia ?	apakah ada yang melakukan lebih baik daripada kami ?
apakah ada yang melakukan lebih baik daripada kami ?	bayi .
bayi .	pergi bicara di tempat lain .
pergi bicara di tempat lain .	oke .
oke .	presiden sudah mati .
presiden sudah mati .	empat dari enam kepala staf gabungan .
empat dari enam kepala staf gabungan .	wakil direktur utama hilang .
wakil direktur utama hilang .	laporan pertempuran senjata di jalanjalan ibukota .
laporan pertempuran senjata di jalanjalan ibukota .	pihak kamu panik .
pihak kamu panik .	kotakota besar adalah off terburuk .
kotakota besar adalah off terburuk .	perusahaan penerbangan adalah sistem pengiriman yang sempurna .
perusahaan penerbangan adalah sistem pengiriman yang sempurna .	carnival cruise kapal mimpi telah diberi izin untuk bergabung .
carnival cruise kapal mimpi telah diberi izin untuk bergabung .	dua puluh tujuh knot selatan dan penutupan .
dua puluh tujuh knot selatan dan penutupan .	seberapa cepat mereka memutar gejala setelah kontak ?
seberapa cepat mereka memutar gejala setelah kontak ?	the provisional pemerintah saat ini mempertimbangkan utara minnesota menjadi zona aman potensial .
the provisional pemerintah saat ini mempertimbangkan utara minnesota menjadi zona aman potensial .	apakah kamu merekam setiap contoh di mana seseorang digigit namun tidak terinfeksi ?
apakah kamu merekam setiap contoh di mana seseorang digigit namun tidak terinfeksi ?	bagaimana sih caranya tahu jika rusia yang jatuh ?
bagaimana sih caranya tahu jika rusia yang jatuh ?	pak , aku tidak bisa tindakan yang order .
pak , aku tidak bisa tindakan yang order .	kolonel , aku minta maaf , tapi kami tidak bisa memfasilitasi evakuasi untuk kamu atau
kolonel , aku minta maaf , tapi kami tidak bisa memfasilitasi evakuasi untuk kamu atau	pak , ada tempat untuk mengevakuasi kamu .
pak , ada tempat untuk mengevakuasi kamu .	malnutrisi .
malnutrisi .	air kotor .
air kotor .	tidak ada gas untuk musim dingin atau transportasi .
tidak ada gas untuk musim dingin atau transportasi .	tidak ada peluru untuk melawan .
tidak ada peluru untuk melawan .	dan itu telah menyebar ke seluruh penjuru dunia .
dan itu telah menyebar ke seluruh penjuru dunia .	pertanyaan bahwa kami harus mengatasi adalah apa sih itu ?
pertanyaan bahwa kami harus mengatasi adalah apa sih itu ?	sekitar dari populasi tidak terpengaruh dengan segera .
sekitar dari populasi tidak terpengaruh dengan segera .	ini adalah virus. itu harus virus .
ini adalah virus. itu harus virus .	tidak ada alternatif yang masuk akal .
tidak ada alternatif yang masuk akal .	dan seperti virus apapun , sekali kami menemukan nya asal , kami dapat mengembangkan vaksin
dan seperti virus apapun , sekali kami menemukan nya asal , kami dapat mengembangkan vaksin	kami menemukannya , menampungnya ...
kami menemukannya , menampungnya ...	itu dr fassbach .
itu dr fassbach .	ahli virus dari harvard .
ahli virus dari harvard .	analogi aku terus datang kembali untuk adalah flu spanyol .
analogi aku terus datang kembali untuk adalah flu spanyol .	flu spanyol ?
flu spanyol ?	itu tidak ada pada tahun , tetapi dengan , membunuh dari dunia .
itu tidak ada pada tahun , tetapi dengan , membunuh dari dunia .	dia taruhan terbaik kami mencari tahu apa hal ini .
dia taruhan terbaik kami mencari tahu apa hal ini .	kamu semua membaca email yang sama aku lakukan , dan berkata zombie .
kamu semua membaca email yang sama aku lakukan , dan berkata zombie .	apakah kamu benarbenar keluar dari pikiran kamu ?
apakah kamu benarbenar keluar dari pikiran kamu ?	jadi , penyebutan awal dari kata zombie
jadi , penyebutan awal dari kata zombie	adalah dalam memo dari camp humphreys di korea selatan .
adalah dalam memo dari camp humphreys di korea selatan .	kami belum memiliki kontak dengan mereka sejak .
kami belum memiliki kontak dengan mereka sejak .	tapi ini bisa membawa kami ke asal .
tapi ini bisa membawa kami ke asal .	jika kami tahu di mana hal ini dimulai , maka kami akan memiliki kesempatan mengembangkan
jika kami tahu di mana hal ini dimulai , maka kami akan memiliki kesempatan mengembangkan	jadi kami mengirim dr fassbach ada untuk mencari sumber .
jadi kami mengirim dr fassbach ada untuk mencari sumber .	dia hanya anakanak .
dia hanya anakanak .	kamu benar .
kamu benar .	perhatian di dek !
perhatian di dek !	tenang !
tenang !	mr wakil sekretaris .
mr wakil sekretaris .	under
under	secretary di sini mengatakan kamu penyidik yang terbaik ketika kamu berada di u.n.
secretary di sini mengatakan kamu penyidik yang terbaik ketika kamu berada di u.n.	aku ingin mengirim kamu masuk dengan tim .
aku ingin mengirim kamu masuk dengan tim .	bantuan dr fassbach menemukan apa pun yang dia butuhkan .
bantuan dr fassbach menemukan apa pun yang dia butuhkan .	kamu membawa ...
kamu membawa ...	aku inginkan untuk keadaan untuk berbicara sendiri .
aku inginkan untuk keadaan untuk berbicara sendiri .	tidak .
tidak .	kapten , aku bukan pria kamu .
kapten , aku bukan pria kamu .	kamu berada di tanah selama perang saudara liberia .
kamu berada di tanah selama perang saudara liberia .	diselidiki chechnya kejahatan perang .
diselidiki chechnya kejahatan perang .	sri lanka pada .
sri lanka pada .	tempat kamu dan aku samasama tahu dr fassbach tidak akan berlangsung malam masuk
tempat kamu dan aku samasama tahu dr fassbach tidak akan berlangsung malam masuk	gerry , beberapa seal akan pergi dengan kamu sebagai pasukan keamanan .
gerry , beberapa seal akan pergi dengan kamu sebagai pasukan keamanan .	tidak .
tidak .	orangorang aku akan membuat kamu dalam , kamu membantu dokter , mengejar setiap lead ,
orangorang aku akan membuat kamu dalam , kamu membantu dokter , mengejar setiap lead ,	kami melakukan angkat berat .
kami melakukan angkat berat .	aku tidak dapat membantu kamu .
aku tidak dapat membantu kamu .	aku tidak bisa meninggalkan keluarga aku .
aku tidak bisa meninggalkan keluarga aku .	lihatlah di sekitar sini , pak lane .
lihatlah di sekitar sini , pak lane .	masingmasing dan setiap satu dari orangorang ini di sini karena mereka melayani tujuan .
masingmasing dan setiap satu dari orangorang ini di sini karena mereka melayani tujuan .	tidak ada ruang di sini untuk personil nonesensial .
tidak ada ruang di sini untuk personil nonesensial .	ada garis panjang orang menunggu salah satu ranjang .
ada garis panjang orang menunggu salah satu ranjang .	kamu ingin membantu keluarga kamu , mari kami mencari tahu bagaimana kami menghentikan ini .
kamu ingin membantu keluarga kamu , mari kami mencari tahu bagaimana kami menghentikan ini .	itu pilihan kamu , mr lane .
itu pilihan kamu , mr lane .	sederhana .
sederhana .	kamu tidak bekerja untuk mereka lagi .
kamu tidak bekerja untuk mereka lagi .	karin ...
karin ...	kamu mungkin tidak ingat
kamu mungkin tidak ingat	apa pekerjaan ini lakukan untuk kamu , tapi aku .
apa pekerjaan ini lakukan untuk kamu , tapi aku .	jadi jangan minta aku untuk mengatakan iya untuk ini .
jadi jangan minta aku untuk mengatakan iya untuk ini .	aku harus pergi .
aku harus pergi .	mereka akan menendang kami dari kapal .
mereka akan menendang kami dari kapal .	apa ?
apa ?	jika aku pergi , kamu , anakanak , tommy , memiliki tempat tinggal .
jika aku pergi , kamu , anakanak , tommy , memiliki tempat tinggal .	jika tidak , kami kembali di philly malam .
jika tidak , kami kembali di philly malam .	bagaimana thierry ?
bagaimana thierry ?	apa dia tidak bisa melakukan apaapa ?
apa dia tidak bisa melakukan apaapa ?	pria seperti thierry tidak bertanggung jawab atas apaapa lagi .
pria seperti thierry tidak bertanggung jawab atas apaapa lagi .	kamu menyimpan ini dengan kamu .
kamu menyimpan ini dengan kamu .	aku akan menelepon sekali sehari .
aku akan menelepon sekali sehari .	selama aku membuat panggilan , semuanya akan baikbaik saja .
selama aku membuat panggilan , semuanya akan baikbaik saja .	aku datang kembali .
aku datang kembali .	oke ?
oke ?	kami akan membuat yang terbaik dari itu .
kami akan membuat yang terbaik dari itu .	seperti yang kami lakukan .
seperti yang kami lakukan .	seperti yang kami lakukan .
seperti yang kami lakukan .	oke , baby doll , daddy harus pergi bekerja .
oke , baby doll , daddy harus pergi bekerja .	aku bukan bayi .
aku bukan bayi .	oke .
oke .	tinggi , cantik , dewasa kecil .
tinggi , cantik , dewasa kecil .	aku akan segera kembali .
aku akan segera kembali .	iya ?
iya ?	baiklah , pria tangguh ..
baiklah , pria tangguh ..	jaga wanita untuk aku ?
jaga wanita untuk aku ?	iya .
iya .	deal .
deal .	kamu mengagumkan .
kamu mengagumkan .	ayah datang kembali .
ayah datang kembali .	dengan cara ini , pak .
dengan cara ini , pak .	lihatlah .
lihatlah .	kami tidak tahu apa yang kami berjalan ke .
kami tidak tahu apa yang kami berjalan ke .	jadi kami melakukan apa yang mereka katakan .
jadi kami melakukan apa yang mereka katakan .	oke .
oke .	jika mereka bergerak , kami bergerak .
jika mereka bergerak , kami bergerak .	jika mereka berhenti , kami berhenti .
jika mereka berhenti , kami berhenti .	jika halhal yang gila untuk mendapatkan , hanya fokus pada sepatu bot mereka , fokus
jika halhal yang gila untuk mendapatkan , hanya fokus pada sepatu bot mereka , fokus	orangorang ini palu .
orangorang ini palu .	dan untuk palu , semuanya terlihat seperti paku .
dan untuk palu , semuanya terlihat seperti paku .	aku mendengar bahwa .
aku mendengar bahwa .	kamu dimaksudkan untuk .
kamu dimaksudkan untuk .	jadi , kamu melihat sesuatu yang penting ,
jadi , kamu melihat sesuatu yang penting ,	kamu menyebutnya keluar dan kami akan mewujudkannya .
kamu menyebutnya keluar dan kami akan mewujudkannya .	oke .
oke .	kamu pikir kami akan menemukan sesuatu ?
kamu pikir kami akan menemukan sesuatu ?	iya .
iya .	iya , kami akan menemukan sesuatu .
iya , kami akan menemukan sesuatu .	ibu alam adalah pembunuh berantai .
ibu alam adalah pembunuh berantai .	tidak ada yang lebih baik .
tidak ada yang lebih baik .	lebih kreatif .
lebih kreatif .	tapi seperti semua pembunuh berantai , ia tidak bisa membantu dorongan ingin terjebak .
tapi seperti semua pembunuh berantai , ia tidak bisa membantu dorongan ingin terjebak .	apa gunanya semua kejahatan brilian jika tidak ada yang mengambil kredit ?
apa gunanya semua kejahatan brilian jika tidak ada yang mengambil kredit ?	jadi dia meninggalkan remahremah .
jadi dia meninggalkan remahremah .	sekarang , bagian yang sulit , mengapa kamu menghabiskan satu dekade di sekolah , adalah
sekarang , bagian yang sulit , mengapa kamu menghabiskan satu dekade di sekolah , adalah	terkadang apa yang kamu pikir adalah aspek paling brutal dari virus , ternyata menjadi celah
terkadang apa yang kamu pikir adalah aspek paling brutal dari virus , ternyata menjadi celah	dan dia mencintai menyamarkan kelemahan sebagai kekuatan .
dan dia mencintai menyamarkan kelemahan sebagai kekuatan .	dia menyebalkan .
dia menyebalkan .	perhatian
perhatian	d
d	c sudah gelap .
c sudah gelap .	aku ulangi ,
aku ulangi ,	dc sudah gelap .
dc sudah gelap .	the capitol evakuasi telah ditangguhkan .
the capitol evakuasi telah ditangguhkan .	semua sumber daya yang tersedia harus diarahkan ke naval station norfolk .
semua sumber daya yang tersedia harus diarahkan ke naval station norfolk .	semua personil nonesensial diberikan f status dan dalam kelompok a sampai e perlu melaporkan ke
semua personil nonesensial diberikan f status dan dalam kelompok a sampai e perlu melaporkan ke	grup a dan b pindah ke orlando harus di buritan jelas dari zona pendaratan .
grup a dan b pindah ke orlando harus di buritan jelas dari zona pendaratan .	aku berkata lagi , semua non esensial personel yang diberikan f status perlu melaporkan ke
aku berkata lagi , semua non esensial personel yang diberikan f status perlu melaporkan ke	choppers inbound untuk relokasi segera .
choppers inbound untuk relokasi segera .	ibu , adalah makan malam ini ?
ibu , adalah makan malam ini ?	iya , sayang .
iya , sayang .	air di sini rasanya lucu .
air di sini rasanya lucu .	ini bahan bakar jet , wanita muda .
ini bahan bakar jet , wanita muda .	dia bercanda .
dia bercanda .	aku berharap .
aku berharap .	desal memiliki masalah penyaringan itu .
desal memiliki masalah penyaringan itu .	mungkin karena ada terlalu banyak orang di kapal ini .
mungkin karena ada terlalu banyak orang di kapal ini .	semua orang bangun .
semua orang bangun .	kami pendekatan ke camp humphreys .
kami pendekatan ke camp humphreys .	sebagian besar dari basis gelap , dan tidak ada yang manning menara .
sebagian besar dari basis gelap , dan tidak ada yang manning menara .	kami berjalan pada asap , sehingga benarbenar tidak punya pilihan ,
kami berjalan pada asap , sehingga benarbenar tidak punya pilihan ,	aku harus menempatkan kami .
aku harus menempatkan kami .	jadi sabuk pengaman .
jadi sabuk pengaman .	angkat .
angkat .	jauhkan jari kamu dari pelatuk .
jauhkan jari kamu dari pelatuk .	oke .
oke .	fassbach !
fassbach !	vvafi !
vvafi !	sialan .
sialan .	pindah kembali !
pindah kembali !	ramah !
ramah !	ramah !
ramah !	terus ke bawah .
terus ke bawah .	terus ke bawah .
terus ke bawah .	apa ini ?
apa ini ?	apa yang terjadi padanya ?
apa yang terjadi padanya ?	dia tergelincir .
dia tergelincir .	dia meninggal .
dia meninggal .	ayo !
ayo !	ayo !
ayo !	mari kami pergi !
mari kami pergi !	mari kami pergi !
mari kami pergi !	qkav , aku baik !
qkav , aku baik !	siapa itu ?
siapa itu ?	yang jatuh ?
yang jatuh ?	skilken .
skilken .	tahan !
tahan !	hapus .
hapus .	tahan .
tahan .	aku ingin menghitung amunisi , maka kamu ulang majalah kamu !
aku ingin menghitung amunisi , maka kamu ulang majalah kamu !	iya , pak !
iya , pak !	anak aku yang baru saja meninggal di luar sana adalah .
anak aku yang baru saja meninggal di luar sana adalah .	dia adalah .
dia adalah .	kamu ingin memberitahu aku mengapa ?
kamu ingin memberitahu aku mengapa ?	karena orang yang hanya menembak dirinya sendiri , dia seorang dokter , ahli virus .
karena orang yang hanya menembak dirinya sendiri , dia seorang dokter , ahli virus .	apa yang kamu bicarakan ?
apa yang kamu bicarakan ?	dia seharusnya menjadi harapan terbaik kami .
dia seharusnya menjadi harapan terbaik kami .	iya , dia bukan harapan terbaik kami lagi .
iya , dia bukan harapan terbaik kami lagi .	hai .
hai .	orang itu menawarkan diri untuk datang ke sini .
orang itu menawarkan diri untuk datang ke sini .	dia tidak harus , kamu tahu .
dia tidak harus , kamu tahu .	tidak satupun dari mereka lakukan .
tidak satupun dari mereka lakukan .	kami masih mencoba untuk mencari tahu apa hal ini .
kami masih mencoba untuk mencari tahu apa hal ini .	nah , sialan terjadi .
nah , sialan terjadi .	dokter akan memiliki sangat setuju dengan kamu .
dokter akan memiliki sangat setuju dengan kamu .	bagaimana kami pergi tentang pengisian bahan bakar ?
bagaimana kami pergi tentang pengisian bahan bakar ?	ketika aku mengatakan begitu .
ketika aku mengatakan begitu .	dan sangat hatihati .
dan sangat hatihati .	kebisingan , apakah mereka tertarik untuk itu ?
kebisingan , apakah mereka tertarik untuk itu ?	iya .
iya .	suara menarik mereka .
suara menarik mereka .	tembakan tubuh hanya tampaknya untuk memperlambat mereka .
tembakan tubuh hanya tampaknya untuk memperlambat mereka .	tembakan kepala melakukan trik , tapi untuk amannya kami cenderung untuk membakar mereka ketika kami
tembakan kepala melakukan trik , tapi untuk amannya kami cenderung untuk membakar mereka ketika kami	kamu berjuang setiap zeke belum ?
kamu berjuang setiap zeke belum ?	iya .
iya .	dimana ?
dimana ?	philly .
philly .	newark .
newark .	buruk ?
buruk ?	bagaimana houston ?
bagaimana houston ?	st louis ?
st louis ?	baltimore ?
baltimore ?	atlanta ?
atlanta ?	detroit ?
detroit ?	guys , aku akan jujur dengan kamu ,
guys , aku akan jujur dengan kamu ,	aku tidak tahu dari setiap tempat kembali rumah yang melakukannya dengan sangat baik .
aku tidak tahu dari setiap tempat kembali rumah yang melakukannya dengan sangat baik .	baiklah ...
baiklah ...	jika orang lain adalah ahli virus , apa yang kamu lakukan ?
jika orang lain adalah ahli virus , apa yang kamu lakukan ?	ada memo dikirim dari instalasi ini hari yang lalu .
ada memo dikirim dari instalasi ini hari yang lalu .	itu kata zombie di dalamnya .
itu kata zombie di dalamnya .	apakah kamu tahu apaapa tentang hal itu ?
apakah kamu tahu apaapa tentang hal itu ?	iya .
iya .	itu adalah email , bukan memo .
itu adalah email , bukan memo .	cukup jelas tidak ada yang kembali ke rumah peduli untuk membacanya .
cukup jelas tidak ada yang kembali ke rumah peduli untuk membacanya .	sekarang , ada , orang di ruangan ini .
sekarang , ada , orang di ruangan ini .	sebagian besar dari mereka penjaga .
sebagian besar dari mereka penjaga .	tapi semua dari mereka yang digigit mencoba untuk mendapatkan orang ini diborgol cot .
tapi semua dari mereka yang digigit mencoba untuk mendapatkan orang ini diborgol cot .	sekarang , kami kolonel mengatakan ia adalah orang pertama .
sekarang , kami kolonel mengatakan ia adalah orang pertama .	kolonel ini , adalah dia ada ?
kolonel ini , adalah dia ada ?	oh , yeah .
oh , yeah .	dia ada di sini .
dia ada di sini .	para pria yang terbelenggu , kamu tahu yang menggigit dia , apa yang menggigitnya ?
para pria yang terbelenggu , kamu tahu yang menggigit dia , apa yang menggigitnya ?	dia adalah dokter basis .
dia adalah dokter basis .	dia baru saja kembali dari lapangan .
dia baru saja kembali dari lapangan .	dia telah dikirim keluar untuk memverifikasi kematian seorang tentara yang baru saja awol minggu sebelumnya
dia telah dikirim keluar untuk memverifikasi kematian seorang tentara yang baru saja awol minggu sebelumnya	beberapa penduduk desa telah menemukan orang ini berbusa mulut , mengalir semacam tar hitam .
beberapa penduduk desa telah menemukan orang ini berbusa mulut , mengalir semacam tar hitam .	kemudian ia mencoba menggigit salah satu dari mereka .
kemudian ia mencoba menggigit salah satu dari mereka .	mereka menembaknya , mengikatnya , melemparkannya ke dalam gudang .
mereka menembaknya , mengikatnya , melemparkannya ke dalam gudang .	itu semua kami tahu , kecuali dokter datang kembali ke sini dan mulai menyerang pasiennya
itu semua kami tahu , kecuali dokter datang kembali ke sini dan mulai menyerang pasiennya	tentara ini , kamu tahu dari mana dia berasal ?
tentara ini , kamu tahu dari mana dia berasal ?	tidak .
tidak .	siapapun dia mungkin telah datang dalam kontak dengan ?
siapapun dia mungkin telah datang dalam kontak dengan ?	tidak .
tidak .	ada harus menjadi catatan .
ada harus menjadi catatan .	kamu dipersilakan untuk melihat jika kamu ingin .
kamu dipersilakan untuk melihat jika kamu ingin .	kemudian asal bisa telah datang dari mana saja .
kemudian asal bisa telah datang dari mana saja .	ini adalah rasa malu kamu harus terbang semua jalan keluar di sini untuk mencari tahu
ini adalah rasa malu kamu harus terbang semua jalan keluar di sini untuk mencari tahu	bagaimana kalian semua melarikan diri ini ?
bagaimana kalian semua melarikan diri ini ?	pengeluaran amunisi .
pengeluaran amunisi .	apakah itu bagaimana kamu tweak kaki kamu ?
apakah itu bagaimana kamu tweak kaki kamu ?	tidak , kotoran sudah menggangguku saat .
tidak , kotoran sudah menggangguku saat .	tusukan ini berdiri tepat di campuran , sedangkan tujuh atau delapan dari mereka gilirannya zeke
tusukan ini berdiri tepat di campuran , sedangkan tujuh atau delapan dari mereka gilirannya zeke	tapi mereka punya waktu untuk oi dirty bajingan sini .
tapi mereka punya waktu untuk oi dirty bajingan sini .	menggigit segala sesuatu seperti anakanak lemak mencintai twix .
menggigit segala sesuatu seperti anakanak lemak mencintai twix .	punya waktu untuk pantat keberuntungannya .
punya waktu untuk pantat keberuntungannya .	bukankah sudah jelas aku terpesona ?
bukankah sudah jelas aku terpesona ?	yang aku lihat digigit berubah dalam detik .
yang aku lihat digigit berubah dalam detik .	sama di sini ?
sama di sini ?	lima atau menit .
lima atau menit .	iya , davidson pergi dan ia berbalik dalam menit .
iya , davidson pergi dan ia berbalik dalam menit .	stevie ?
stevie ?	kapten spekes !
kapten spekes !	oh , tuhan !
oh , tuhan !	iya tuhan !
iya tuhan !	iya tuhan !
iya tuhan !	apakah mereka makan aku ?
apakah mereka makan aku ?	siapa itu ?
siapa itu ?	membuangbuang waktu pada orang aneh itu .
membuangbuang waktu pada orang aneh itu .	dia c.l.a.
dia c.l.a.	tertangkap menjual senjata ke korea utara .
tertangkap menjual senjata ke korea utara .	davidson , ia berbalik dalam menit .
davidson , ia berbalik dalam menit .	itu tidak terdengar virus kepada aku sama sekali , penggemar olahraga !
itu tidak terdengar virus kepada aku sama sekali , penggemar olahraga !	kamu dengan c.l.a. ?
kamu dengan c.l.a. ?	tapi mereka tidak dengan aku .
tapi mereka tidak dengan aku .	dan siapa kamu ?
dan siapa kamu ?	u.n.
u.n.	oh , tuhan !
oh , tuhan !	kapten , mengenakan dunia musik !
kapten , mengenakan dunia musik !	hari disimpan !
hari disimpan !	kenapa kamu menjual senjata ke utara ?
kenapa kamu menjual senjata ke utara ?	mengapa tidak ?
mengapa tidak ?	apakah mereka masih hidup ini ?
apakah mereka masih hidup ini ?	memang mereka .
memang mereka .	menggunakan senjata kamu .
menggunakan senjata kamu .	ngga setengahsetengah .
ngga setengahsetengah .	bagaimana itu ?
bagaimana itu ?	baik .
baik .	mereka mengambil daya eksponensial zekes .
mereka mengambil daya eksponensial zekes .	mereka menarik gigi dari seluruh juta dalam waktu kurang dari jam .
mereka menarik gigi dari seluruh juta dalam waktu kurang dari jam .	prestasi terbesar rekayasa sosial dalam sejarah .
prestasi terbesar rekayasa sosial dalam sejarah .	ini brilian .
ini brilian .	tidak ada gigi , tidak menggigit .
tidak ada gigi , tidak menggigit .	tidak ada penyebaran besar .
tidak ada penyebaran besar .	omong kosong .
omong kosong .	lebih banyak buku , resepsi sedikit , boutros boutros .
lebih banyak buku , resepsi sedikit , boutros boutros .	sekarang , mengapa kamu harus membakar mereka menjadi abu untuk membuat mereka akhirnya berhenti ?
sekarang , mengapa kamu harus membakar mereka menjadi abu untuk membuat mereka akhirnya berhenti ?	mengapa mereka bergerak seperti wabah ?
mengapa mereka bergerak seperti wabah ?	mengapa israel menang ?
mengapa israel menang ?	bagaimana israel menang ?
bagaimana israel menang ?	mereka menutup seluruh negara mereka hari sebelum mayat hidup menyerang manusia .
mereka menutup seluruh negara mereka hari sebelum mayat hidup menyerang manusia .	pertama untuk mengetahui , pertama untuk bertindak .
pertama untuk mengetahui , pertama untuk bertindak .	orangorang telah membangun dinding di sana selama dua milenia .
orangorang telah membangun dinding di sana selama dua milenia .	benar .
benar .	yeah , tapi , menyelesaikan semua ribuan tahun kerja seminggu yang lalu ?
yeah , tapi , menyelesaikan semua ribuan tahun kerja seminggu yang lalu ?	waktu sempurna adalah semua .
waktu sempurna adalah semua .	kamu ingin jawaban ?
kamu ingin jawaban ?	jurgen warmbrunn .
jurgen warmbrunn .	itulah pria di yerusalem kamu ingin melihat .
