cha taehyun	song hyegyo
dimana ?	di peternakan clanton .
di peternakan clanton .	siapa yang ada disana ?
siapa yang ada disana ?	aku tidak ingin anak itu terbunuh .
aku tidak ingin anak itu terbunuh .	siapa yang ada disana ?
siapa yang ada disana ?	ike , finn , ...
ike , finn , ...	cotton , wilson dan mac lowery .
cotton , wilson dan mac lowery .	dan ringo ?
dan ringo ?	apakah ringo ada ?
apakah ringo ada ?	iya .
iya .	ringo ada disana .
ringo ada disana .	doc .
doc .	jangan doc , kumohon jangan .
jangan doc , kumohon jangan .	doc !
doc !	kumohon jangan doc .
kumohon jangan doc .	tolong jangan bunuh aku .
tolong jangan bunuh aku .	kumohon , kumohon !
kumohon , kumohon !	...
...	kumohon ...
kumohon ...	jangan bunuh aku .
jangan bunuh aku .	doc .
doc .	doc .
doc .	doc .
doc .	doc ,
doc ,	oh doc .
oh doc .	tidak apaapa , sayang .
tidak apaapa , sayang .	tidak apaapa , sayang .
tidak apaapa , sayang .	wyatt , ike mengirimku .
wyatt , ike mengirimku .	aku tidak ada hubungannya dengan itu .
aku tidak ada hubungannya dengan itu .	aku tidak tahu apapun , kamu harus percaya padaku .
aku tidak tahu apapun , kamu harus percaya padaku .	kukira itu karena namamu clanton .
kukira itu karena namamu clanton .	ike mengirimku untuk menemuimu .
ike mengirimku untuk menemuimu .	dia ingin bertemu denganmu dan keluargamu secara pribadi .
dia ingin bertemu denganmu dan keluargamu secara pribadi .	itu yang kuharapkan .
itu yang kuharapkan .	dengan tidak ada gangguan dari clum ,
dengan tidak ada gangguan dari clum ,	kamu pegang perkataanku , berapa banyak orang yang dia bawa ?
kamu pegang perkataanku , berapa banyak orang yang dia bawa ?	enam .
enam .	akan ada ike , finn dan ringgo juga mc lowery .
akan ada ike , finn dan ringgo juga mc lowery .	di mana dan kapan ?
di mana dan kapan ?	siang nanti di o.k. corral .
siang nanti di o.k. corral .	katakan pada ike kami akan ke sana .
katakan pada ike kami akan ke sana .	katamu ada enam .
katamu ada enam .	aku akan datang bersama mereka .
aku akan datang bersama mereka .	jangan lakukan itu billy .
jangan lakukan itu billy .	kamu tidak akan bertahan hidup .
kamu tidak akan bertahan hidup .	tidak , aku kira begitu .
tidak , aku kira begitu .	aku kira ini benarbenar sulit .
aku kira ini benarbenar sulit .	tidak pak , aku tidak boleh lari .
tidak pak , aku tidak boleh lari .	ike dan finn adalah saudaraku .
ike dan finn adalah saudaraku .	kamu mengerti , bukan ?
kamu mengerti , bukan ?	iya billy , aku memahaminya .
iya billy , aku memahaminya .	bagaimana kamu bisa duduk disana , seperti sedang bermain catur ?
bagaimana kamu bisa duduk disana , seperti sedang bermain catur ?	bagaimana kamu bisa duduk disana seperti itu ?
bagaimana kamu bisa duduk disana seperti itu ?	apa yang terjadi denganmu ?
apa yang terjadi denganmu ?	mengapa kamu tidak pergi ke john clum dan meminta bantuan ?
mengapa kamu tidak pergi ke john clum dan meminta bantuan ?	sudah kukatakan , ini bukan urusan clum .
sudah kukatakan , ini bukan urusan clum .	ini masalah pribadi antara kami dan ike clanton .
ini masalah pribadi antara kami dan ike clanton .	tapi kamu seorang penegak hukum ,
tapi kamu seorang penegak hukum ,	kalian semua penegak hukum .
kalian semua penegak hukum .	kamu tidak boleh mendahulukan kepentinganmu daripada keamanan kota ini .
kamu tidak boleh mendahulukan kepentinganmu daripada keamanan kota ini .	tugasmu adalah melayani masyarakat ,
tugasmu adalah melayani masyarakat ,	bukan hanya untuk harga diri .
bukan hanya untuk harga diri .	harga diri , harga diri lelaki .
harga diri , harga diri lelaki .	lihatlah dirimu .
lihatlah dirimu .	lihatlah lelaki yang mempunyai harga diri .
lihatlah lelaki yang mempunyai harga diri .	morgan .
morgan .	apakah istrimu tahu akan menjadi janda besok ?
apakah istrimu tahu akan menjadi janda besok ?	kupikir lebih baik kamu keluar ruangan .
kupikir lebih baik kamu keluar ruangan .	virgil , anakmu ingin menciummu dan mengucapkan selamat malam .
virgil , anakmu ingin menciummu dan mengucapkan selamat malam .	sampai jumpa besok pagi .
sampai jumpa besok pagi .	doc , bangun .
doc , bangun .	doc ini aku , wyatt .
doc ini aku , wyatt .	bangun , kamu dengar aku ?
bangun , kamu dengar aku ?	kamu sangat mabuk .
kamu sangat mabuk .	aku membutuhkanmu doc ,
aku membutuhkanmu doc ,	jangan biarkan aku kalah .
jangan biarkan aku kalah .	aku membutuhkanmu doc ,
aku membutuhkanmu doc ,	jangan biarkan aku kalah .
jangan biarkan aku kalah .	bangun , kamu dengar aku ?
bangun , kamu dengar aku ?	bangun !
bangun !	tinggalkan dia sendiri .
tinggalkan dia sendiri .	tidakkah kamu lihat dia sekarat ?
tidakkah kamu lihat dia sekarat ?	wiriadikrama family melur dua nomor saratus , brk , bandung
wiriadikrama family melur dua nomor saratus , brk , bandung	biarkan saja .
biarkan saja .	doc .
doc .	bagaimana keadaanmu ?
bagaimana keadaanmu ?	pertempuranya di pagi ini , bukan ?
pertempuranya di pagi ini , bukan ?	apa ?
apa ?	aku tidak tahu .
aku tidak tahu .	doc , jangan ...
doc , jangan ...	kamu jangan ...
kamu jangan ...	doc kamu jangan ...
doc kamu jangan ...	dengar , berdiripun kamu tidak mampu .
dengar , berdiripun kamu tidak mampu .	kamu pasti akan mati jika pergi ke sana .
kamu pasti akan mati jika pergi ke sana .	jika aku mati ,
jika aku mati ,	setidaknya aku mati bersama kawan yang pernah aku punya .
setidaknya aku mati bersama kawan yang pernah aku punya .	kami tidak membuat perbedaan , huh ?
kami tidak membuat perbedaan , huh ?	kamu dan aku ?
kamu dan aku ?	kami tidak punya masalah kate .
kami tidak punya masalah kate .	sejak kami lahir , kami tidak pernah punya masalah .
sejak kami lahir , kami tidak pernah punya masalah .	tambatkan kuda ini di belakang .
tambatkan kuda ini di belakang .	baik .
baik .	kesana cotton .
kesana cotton .	frank , ambil senapan , masuklah kedalam kereta .
frank , ambil senapan , masuklah kedalam kereta .	sebelah depan .
sebelah depan .	morgan dan virgil sedang menunggu .
morgan dan virgil sedang menunggu .	ike ingin bicara denganmu sendirian .
ike ingin bicara denganmu sendirian .	dia tidak bersenjata .
dia tidak bersenjata .	tunggu sebentar wyatt .
tunggu sebentar wyatt .	kate bercerita tentang pembunuhan saudaramu .
kate bercerita tentang pembunuhan saudaramu .	itu perbuatan orangorang clanton ?
itu perbuatan orangorang clanton ?	dan kamu ada disana .
dan kamu ada disana .	aku tidak ada hubungannya dengan itu .
aku tidak ada hubungannya dengan itu .	kembalilah ke tempat asalmu .
kembalilah ke tempat asalmu .	percayalah padaku wyatt ...
percayalah padaku wyatt ...	kembalilah ke temantemanmu .
kembalilah ke temantemanmu .	mereka datang .
mereka datang .	mereka bersama doc holliday .
mereka bersama doc holliday .	holliday huh ?
holliday huh ?	cotton , kamu pergilah ke samping kuda .
cotton , kamu pergilah ke samping kuda .	ike , aku tidak bisa melakukan tembakmenembak lagi .
ike , aku tidak bisa melakukan tembakmenembak lagi .	biarkan aku keluar .
biarkan aku keluar .	pergilah ke sana .
pergilah ke sana .	mereka tujuh bersama cotton , aku hanya lihat enam .
mereka tujuh bersama cotton , aku hanya lihat enam .	menyebarlah
menyebarlah	frank .
frank .	tembak dia !
tembak dia !	lindungi aku .
lindungi aku .	tembak !
tembak !	apakah kamu tidak apaapa ?
apakah kamu tidak apaapa ?	baiklah .
baiklah .	baiklah .
baiklah .	cotton !
cotton !	dasar kamu pengecut ...
dasar kamu pengecut ...	mereka membunuh saudaraku !
mereka membunuh saudaraku !	tom !
tom !	mundur , kamu bodoh !
mundur , kamu bodoh !	ayo earp !
ayo earp !	aku akan membunuhmu !
aku akan membunuhmu !	ayo keluar dan rasakan ini , earp !
ayo keluar dan rasakan ini , earp !	earp !
earp !	keluarlah dan rasakan ini !
keluarlah dan rasakan ini !	virge , kamu luka parah ?
virge , kamu luka parah ?	iya , kakiku .
iya , kakiku .	doc .
doc .	aku akan menghadapi ringo .
aku akan menghadapi ringo .	billy .
billy .	jatuhkan pistolmu dan keluar .
jatuhkan pistolmu dan keluar .	menyerahlah , nak !
menyerahlah , nak !	kamu tidak punya kesempatan .
kamu tidak punya kesempatan .	masuk dan tangkaplah aku !
masuk dan tangkaplah aku !	jangan paksa aku melakukannya , nak !
jangan paksa aku melakukannya , nak !	jangan paksa .
jangan paksa .	aku terpaksa , doc .
aku terpaksa , doc .	bagaimana dengan saudarasaudara kami ?
bagaimana dengan saudarasaudara kami ?	sedang berkumpul , mereka tidak apaapa
sedang berkumpul , mereka tidak apaapa	gelas lagi joe .
gelas lagi joe .	kuingin kamu tahu , aku tidak akan berhasil tanpamu .
kuingin kamu tahu , aku tidak akan berhasil tanpamu .	kamu mau kemana ?
kamu mau kemana ?	california .
california .	laura ?
laura ?	aku tidak tahu , aku juga mengharapkanya .
aku tidak tahu , aku juga mengharapkanya .	dia akan menunggu .
dia akan menunggu .	apakah kamu mendengarku , walau hanya sekali ?
apakah kamu mendengarku , walau hanya sekali ?	maukah kamu ke rumah sakit di denver ?
maukah kamu ke rumah sakit di denver ?	jika seperti ini , kamu tidak akan bertahan lebih dari beberapa bulan .
jika seperti ini , kamu tidak akan bertahan lebih dari beberapa bulan .	apakah kamu gila ?
apakah kamu gila ?	sampai ketemu lagi .
sampai ketemu lagi .	selamat tinggal pendeta .
selamat tinggal pendeta .	selamat siang tuantuan .
selamat siang tuantuan .	hai doc ...
hai doc ...	hai doc .
hai doc .	apa nama permainan ini .
apa nama permainan ini .	bukit sepatu
bukit sepatu	bukit sepatu
bukit sepatu	begitu dingin
begitu dingin	begitu hening
begitu hening	disini mereka berbaring , berdampingan
disini mereka berbaring , berdampingan	para pembunuh yang mati
para pembunuh yang mati	dalam pertarungan di o.k. corral
dalam pertarungan di o.k. corral	o.k.
o.k.	corral
corral	o.k.
o.k.	corral
corral	pertarungan di ...
pertarungan di ...	o.k. corral
o.k. corral	t a m a t
t a m a t	resync by dokterjunior
resync by dokterjunior	terima kasih banyak , pak
terima kasih banyak , pak	kerjamu hebat .
kerjamu hebat .	hebat .
hebat .	shh ..
shh ..	shh ..
shh ..	kamu berhasil !
kamu berhasil !	kamu berhasil !
kamu berhasil !	sebagai lanjutannya , kamu telah mendengarkan kasus yang panjang dan rumit , pembunuhan tingkat pertama
sebagai lanjutannya , kamu telah mendengarkan kasus yang panjang dan rumit , pembunuhan tingkat pertama	pembunuhan berencana adalah tuduhan yang paling berat dalam pengadilan pidana kami .
pembunuhan berencana adalah tuduhan yang paling berat dalam pengadilan pidana kami .	kamu telah mendengarkan semua kesaksian dan penafsiran hukum sebagaimana yang tersaji di dalam kasus ini
kamu telah mendengarkan semua kesaksian dan penafsiran hukum sebagaimana yang tersaji di dalam kasus ini	sekarang menjadi tugas kamu untuk duduk dan memisahkan segala fakta yang ada sebaikbaiknya .
sekarang menjadi tugas kamu untuk duduk dan memisahkan segala fakta yang ada sebaikbaiknya .	satu orang tewas dan satu nyawa orang lain menjadi taruhannya .
satu orang tewas dan satu nyawa orang lain menjadi taruhannya .	jika ada keraguan yang masuk akal di pikiran kamu mengenai tuduhan bagi terdakwa
jika ada keraguan yang masuk akal di pikiran kamu mengenai tuduhan bagi terdakwa	sebuah keraguan yang masuk akal maka kamu diharuskan memberikan keputusan tidak bersalah .
sebuah keraguan yang masuk akal maka kamu diharuskan memberikan keputusan tidak bersalah .	jika kamu tidak memiliki keraguan tsb , maka kamu diharuskan , dalam tanggung jawab kamu
jika kamu tidak memiliki keraguan tsb , maka kamu diharuskan , dalam tanggung jawab kamu	apapun keputusan kamu , keputusan tersebut haruslah mutlak bersuara bulat .
apapun keputusan kamu , keputusan tersebut haruslah mutlak bersuara bulat .	apabila keputusan yang dibuat adalah keputusan bersalah ,
apabila keputusan yang dibuat adalah keputusan bersalah ,	pengadilan tidak akan memberikan ampunan kepada terdakwa .
pengadilan tidak akan memberikan ampunan kepada terdakwa .	hukuman mati akan diberlakukan dalam kasus ini .
hukuman mati akan diberlakukan dalam kasus ini .	kamu dihadapkan pada tanggung jawab yang sangat besar , saudara .
kamu dihadapkan pada tanggung jawab yang sangat besar , saudara .	juri pengganti dibebaskan dari tanggung jawab .
juri pengganti dibebaskan dari tanggung jawab .	juri dipersilahkan untuk istirahat .
juri dipersilahkan untuk istirahat .	mau permen karet ?
mau permen karet ?	tidak , terima kasih .
tidak , terima kasih .	benda ini tidak bisa digerakkan .
benda ini tidak bisa digerakkan .	mari kubantu .
mari kubantu .	sudah .
sudah .	kamu tahu ?
kamu tahu ?	tadi pagi aku menghubungi badan cuaca .
tadi pagi aku menghubungi badan cuaca .	hari ini diperkirakan menjadi hari terpanas di sepanjang tahun ini .
hari ini diperkirakan menjadi hari terpanas di sepanjang tahun ini .	menurutmu setidaknya ruangan ini bisa dipasangi ac
menurutmu setidaknya ruangan ini bisa dipasangi ac	siapa nama kamu , pak ?
siapa nama kamu , pak ?	oh , yang ini .
oh , yang ini .	iya .
iya .	terima kasih banyak ok , saudara .
terima kasih banyak ok , saudara .	semua orang telah hadir di sini .
semua orang telah hadir di sini .	sekarang , jika ada sesuatu yang kamu inginkan , aku akan berada di luar ruangan
sekarang , jika ada sesuatu yang kamu inginkan , aku akan berada di luar ruangan	selamat pagi .
selamat pagi .	aku tidak tahu mereka akan mengunci pintunya .
aku tidak tahu mereka akan mengunci pintunya .	tentu saja mereka mengunci pintunya .
tentu saja mereka mengunci pintunya .	apa yang kaupikir ?
apa yang kaupikir ?	aku tidak tahu .
aku tidak tahu .	hanya saja itu tidak pernah terlintas di pikiranku .
hanya saja itu tidak pernah terlintas di pikiranku .	untuk apa itu ?
untuk apa itu ?	kupikir kami mungkin akan mengambil suara nanti .
kupikir kami mungkin akan mengambil suara nanti .	ide bagus .
ide bagus .	mungkin kami dapat mencalonkan dia sebagai senator .
mungkin kami dapat mencalonkan dia sebagai senator .	bagaimana menurutmu ?
bagaimana menurutmu ?	aku tidak tahu .
aku tidak tahu .	menurutku kasus ini cukup menarik .
menurutku kasus ini cukup menarik .	yeah ?
yeah ?	aku hampir tertidur di persidangan .
aku hampir tertidur di persidangan .	maksudku , aku tidak pernah menjadi juri sebelumnya .
maksudku , aku tidak pernah menjadi juri sebelumnya .	belum pernah ?
belum pernah ?	aku telah duduk di kursi juri dalam banyak persidangan .
aku telah duduk di kursi juri dalam banyak persidangan .	pengacara itu berbicara dan berbicara terus , bahkan ketika menghadapi kasus yang sudah pasti seperti
pengacara itu berbicara dan berbicara terus , bahkan ketika menghadapi kasus yang sudah pasti seperti	pernah mendengar tong kosong nyaring bunyinya ?
pernah mendengar tong kosong nyaring bunyinya ?	kurasa sudah melekat pada mereka .
kurasa sudah melekat pada mereka .	itu memang julukan mereka .
itu memang julukan mereka .	sudah menjadi bagian dari sistem , tapi ...
sudah menjadi bagian dari sistem , tapi ...	jika kamu bertanya padaku , akan kuhajar anak nakal itu sebelum mereka menimbulkan masalah .
jika kamu bertanya padaku , akan kuhajar anak nakal itu sebelum mereka menimbulkan masalah .	akan menghemat waktu dan uang .
akan menghemat waktu dan uang .	mari kami mulai .
mari kami mulai .	iya , barangkali ada beberapa dari kami yang harus mengerjakan sesuatu .
iya , barangkali ada beberapa dari kami yang harus mengerjakan sesuatu .	kami bisa mulai lima menit lagi .
kami bisa mulai lima menit lagi .	satu orang sedang di kamar mandi .
satu orang sedang di kamar mandi .	apakah ... kami akan duduk berdasarkan nomor urut kami ?
apakah ... kami akan duduk berdasarkan nomor urut kami ?	wah , kurang tahu aku .
wah , kurang tahu aku .	kurasa begitu .
kurasa begitu .	kawan , kamu di tempat dudukku .
kawan , kamu di tempat dudukku .	oh , maaf .
oh , maaf .	tidak apa .
tidak apa .	hai , bukan pemandangan yang jelek , huh ?
hai , bukan pemandangan yang jelek , huh ?	bagaimana menurutmu tentang kasus ini ?
bagaimana menurutmu tentang kasus ini ?	maksudku , aku sangat tertarik dengannya .
maksudku , aku sangat tertarik dengannya .	pasti ... tepat sasaran .
pasti ... tepat sasaran .	mengerti maksudku ?
mengerti maksudku ?	kami beruntung mendapatkan kasus pembunuhan .
kami beruntung mendapatkan kasus pembunuhan .	aku bayangkan kami dapat kasus penyerangan atau perampokan .
aku bayangkan kami dapat kasus penyerangan atau perampokan .	boy , kasus seperti itu bisa jadi kasus yang paling membosankan !
boy , kasus seperti itu bisa jadi kasus yang paling membosankan !	hai , apakah itu gedung woolworth ?
hai , apakah itu gedung woolworth ?	benar .
benar .	lucu sekali .
lucu sekali .	aku tinggal di kota ini seumur hidupku .
aku tinggal di kota ini seumur hidupku .	sampai sekarang , belum pernah aku masuk ke dalam gedung itu .
sampai sekarang , belum pernah aku masuk ke dalam gedung itu .	jika kamu harus mengumpulkan segala macam sampah itu , seperti hal yang dilakukan dalam film
jika kamu harus mengumpulkan segala macam sampah itu , seperti hal yang dilakukan dalam film	yeah , bagaimana tentang hal yang berkaitan dengan pisau itu ?
yeah , bagaimana tentang hal yang berkaitan dengan pisau itu ?	berharap orang dewasa mempercayai bualan seperti itu .
berharap orang dewasa mempercayai bualan seperti itu .	kamu mengharpkannya .
kamu mengharpkannya .	kamu tahu apa yang kami hadapi ini .
kamu tahu apa yang kami hadapi ini .	iya , menurutku pun begitu .
iya , menurutku pun begitu .	well , klaksonnya berfungsi .
well , klaksonnya berfungsi .	sekarang coba nyalakan lampunya .
sekarang coba nyalakan lampunya .	flu ?
flu ?	dan caranya .
dan caranya .	cuaca panas dapat membunuhmu .
cuaca panas dapat membunuhmu .	aku bahkan tidak dapat merasakan hidungku .
aku bahkan tidak dapat merasakan hidungku .	tahu kan maksudku ?
tahu kan maksudku ?	tentu saja .
tentu saja .	akupun baru sembuh dari flu .
akupun baru sembuh dari flu .	oh ayolah mr. foreman !
oh ayolah mr. foreman !	ayo kami mulai .
ayo kami mulai .	orang yang tadi masih di kamar mandi .
orang yang tadi masih di kamar mandi .	ada berita apa ?
ada berita apa ?	aku tidak sempat baca koran pagi ini .
aku tidak sempat baca koran pagi ini .	aku hanya ingin tahu berapa harga saham di penutupan bursa .
aku hanya ingin tahu berapa harga saham di penutupan bursa .	kamu bekerja di bursa saham ?
kamu bekerja di bursa saham ?	aku seorang broker .
aku seorang broker .	aku menjalankan jasa pengiriman pesan .
aku menjalankan jasa pengiriman pesan .	beck and call company .
beck and call company .	ide namanya dari istriku .
ide namanya dari istriku .	memiliki pegawai .
memiliki pegawai .	dimulai dari nol .
dimulai dari nol .	oke saudara .
oke saudara .	ayo duduk di kursi masing .
ayo duduk di kursi masing .	kami bisa cepat keluar nih .
kami bisa cepat keluar nih .	aku dapat tiket untuk pertandingan baseball nanti malam .
aku dapat tiket untuk pertandingan baseball nanti malam .	yankees lawan cleveland .
yankees lawan cleveland .	kami punya anak ini , namanya modjelewski .
kami punya anak ini , namanya modjelewski .	jago banget anak ini .
jago banget anak ini .	kamu tahu ?
kamu tahu ?	lemparannya bagus .
lemparannya bagus .	kamu tahu ?
kamu tahu ?	kamu benar penggemar berat baseball , iya ?
kamu benar penggemar berat baseball , iya ?	di mana kami duduk ?
di mana kami duduk ?	kurasa kami duduk berdasarkan nomor urut juri kami .
kurasa kami duduk berdasarkan nomor urut juri kami .	satu , dua , tiga dst mengelilingi meja , jika tidak masalah dengan saudara sekalian
satu , dua , tiga dst mengelilingi meja , jika tidak masalah dengan saudara sekalian	apa bedanya ?
apa bedanya ?	cukup masuk akal duduk berdasarkan nomor urut .
cukup masuk akal duduk berdasarkan nomor urut .	baiklah kalu begitu .
baiklah kalu begitu .	itu dua belas .
itu dua belas .	kami duduk memutar satu , dua ...
kami duduk memutar satu , dua ...	bagaimana kesan yang kaudapat dari jaksa penuntut ?
bagaimana kesan yang kaudapat dari jaksa penuntut ?	maaf ?
maaf ?	kupikir dia benar bagus ,
kupikir dia benar bagus ,	cara dia menangani poin yang ada satu persatu , dalam urutan logisnya .
cara dia menangani poin yang ada satu persatu , dalam urutan logisnya .	aku sangat terkesan .
aku sangat terkesan .	kupikir ... dia melakukan pekerjaan seorang ahli .
kupikir ... dia melakukan pekerjaan seorang ahli .	sangat terarah , juga .
sangat terarah , juga .	kamu tahu ?
kamu tahu ?	benar terarah .
benar terarah .	baik saudara .
baik saudara .	bisakah tenang sebentar ?
bisakah tenang sebentar ?	saudara ?
saudara ?	kami akan segera mulai .
kami akan segera mulai .	saudara yang di depan jendela .
saudara yang di depan jendela .	kami akan segera mulai .
kami akan segera mulai .	oh , maaf .
oh , maaf .	anak itu membunuh ayahnya .
anak itu membunuh ayahnya .	itu saja .
itu saja .	dengar , hal seperti ini terjadi setiap saat .
dengar , hal seperti ini terjadi setiap saat .	mereka tidak mendidik anaknya dengan keras .
mereka tidak mendidik anaknya dengan keras .	well , mungkin dia mendapatkan akibatnya .
well , mungkin dia mendapatkan akibatnya .	kamu tahu maksudku ?
kamu tahu maksudku ?	apa semua orang sudah siap ?
apa semua orang sudah siap ?	orang tua sedang di kamar
orang tua sedang di kamar	maukah kamu memanggilnya ?
maukah kamu memanggilnya ?	iya .
iya .	apa kamu penggemar yankee ?
apa kamu penggemar yankee ?	bukan , baltimore .
bukan , baltimore .	baltimore ?
baltimore ?	itu seperti dipukul linggis sekali setiap hari .
itu seperti dipukul linggis sekali setiap hari .	siapa yang mereka punya ?
siapa yang mereka punya ?	siapa lagi yang mereka punya selain groundkeeper yang bagus ?
siapa lagi yang mereka punya selain groundkeeper yang bagus ?	ayo kami segera mulai .
ayo kami segera mulai .	maafkan aku saudara .
maafkan aku saudara .	aku tidak bermaksud membuat kalian menunggu .
aku tidak bermaksud membuat kalian menunggu .	baltimore ?
baltimore ?	oke , mohon perhatiannya .
oke , mohon perhatiannya .	kalian bisa berpendapat sesuai kehendak masing .
kalian bisa berpendapat sesuai kehendak masing .	aku ... kalian tahu , aku tidak akan membuat aturan .
aku ... kalian tahu , aku tidak akan membuat aturan .	kami bisa , well , mendiskusikannya terlebih dahulu lalu memungut suara .
kami bisa , well , mendiskusikannya terlebih dahulu lalu memungut suara .	itu , tentu saja ...
itu , tentu saja ...	dan , well , kami bisa memungut suara sekarang .
dan , well , kami bisa memungut suara sekarang .	kupikir sudah biasa jika dilakukan pemungutan suara pendahuluan .
kupikir sudah biasa jika dilakukan pemungutan suara pendahuluan .	iya , ayo mengambil suara .
iya , ayo mengambil suara .	siapa tahu kan ?
siapa tahu kan ?	mungkin kami bisa segera pergi dari sini .
mungkin kami bisa segera pergi dari sini .	ok. kemudian menurutku kalian sudah tahu bahwa kami dihadapkan pada dakwaan pembunuhan tingkat pertama .
ok. kemudian menurutku kalian sudah tahu bahwa kami dihadapkan pada dakwaan pembunuhan tingkat pertama .	dan jika kami memutuskan bersalah , kami akan mengirim terdakwa ke kursi listrik .
dan jika kami memutuskan bersalah , kami akan mengirim terdakwa ke kursi listrik .	um ... itulah yang diperintahkan .
um ... itulah yang diperintahkan .	kupikir kami semua tahu itu .
kupikir kami semua tahu itu .	yeah , mari kami lihat siapa yang di mana ?
yeah , mari kami lihat siapa yang di mana ?	ok .
ok .	ada yang tidak ingin memilih ?
ada yang tidak ingin memilih ?	oke saja bagiku .
oke saja bagiku .	baiklah , hanya ingat pemungutan suara ini haruslah suara lawan , apapun keputusannya .
baiklah , hanya ingat pemungutan suara ini haruslah suara lawan , apapun keputusannya .	itulah hukumnya .
itulah hukumnya .	ok , sudah siap ?
ok , sudah siap ?	siapapun yang memutuskan bersalah , angkat tangan .
siapapun yang memutuskan bersalah , angkat tangan .	satu , dua , tiga , empat , lima , enam , tujuh ...
satu , dua , tiga , empat , lima , enam , tujuh ...	delapan , sembilan , sepuluh , sebelas .
delapan , sembilan , sepuluh , sebelas .	oke , berarti sebelas memutuskan bersalah
oke , berarti sebelas memutuskan bersalah	yang memutuskan tidak bersalah ?
yang memutuskan tidak bersalah ?	satu .
satu .	baiklah .
baiklah .	sebelas bersalah , satu tidak bersalah .
sebelas bersalah , satu tidak bersalah .	well , kami tahu posisi kami sekarang .
well , kami tahu posisi kami sekarang .	boy , oh boy !
boy , oh boy !	pasti selalu ada satu .
pasti selalu ada satu .	jadi apa yang kami lakukan sekarang ?
jadi apa yang kami lakukan sekarang ?	menurutku kami bicara .
menurutku kami bicara .	boy , oh boy !
boy , oh boy !	kamu benar berpikir anak itu tidak bersalah ?
kamu benar berpikir anak itu tidak bersalah ?	aku tidak tahu .
aku tidak tahu .	kamu duduk di pengadilan bersama kami semua .
kamu duduk di pengadilan bersama kami semua .	kamu dengar apa yang kami dengar .
kamu dengar apa yang kami dengar .	anak itu pembunuh berbahaya .
anak itu pembunuh berbahaya .	dia baru tahun .
dia baru tahun .	well , sudah cukup tua .
well , sudah cukup tua .	dia menikam ayahnya sendiri empat inci ke dalam dadanya .
dia menikam ayahnya sendiri empat inci ke dalam dadanya .	mereka membuktikannya dengan satu lusin cara yang berbeda di pengadilan .
mereka membuktikannya dengan satu lusin cara yang berbeda di pengadilan .	kamu mau aku membuat daftarnya untukmu ?
kamu mau aku membuat daftarnya untukmu ?	tidak .
tidak .	lalu apa yang kamu inginkan ?
lalu apa yang kamu inginkan ?	aku hanya ingin bicara .
aku hanya ingin bicara .	apa lagi yang harus dibicarakan ?
apa lagi yang harus dibicarakan ?	sebelas dari kami memutuskan bersalah .
sebelas dari kami memutuskan bersalah .	tidak ada yang berpikir dua kali selain kamu .
tidak ada yang berpikir dua kali selain kamu .	aku ingin bertanya sesuatu .
aku ingin bertanya sesuatu .	kamu percaya yang anak itu ceritakan ?
kamu percaya yang anak itu ceritakan ?	aku tidak tahu .
aku tidak tahu .	mungkin aku tidak percaya .
mungkin aku tidak percaya .	lalu kenapa bisa kamu memutuskan tidak bersalah ?
lalu kenapa bisa kamu memutuskan tidak bersalah ?	ada sebelas keputusan bersalah .
ada sebelas keputusan bersalah .	tidak mudah bagiku untuk mengangkat tanganku dan mengirim seorang anak ke kursi listrik tanpa membicarakannya
tidak mudah bagiku untuk mengangkat tanganku dan mengirim seorang anak ke kursi listrik tanpa membicarakannya	well , sekarang , siapa yang bilang hal itu mudah ?
well , sekarang , siapa yang bilang hal itu mudah ?	tidak ada .
tidak ada .	apa ?
apa ?	hanya karena aku memutuskan dengan cepat ?
hanya karena aku memutuskan dengan cepat ?	aku sejujurnya berpikir kalau anak itu bersalah .
aku sejujurnya berpikir kalau anak itu bersalah .	tidak akan mengubah pendapatku walau kamu berbicara selama tahun .
tidak akan mengubah pendapatku walau kamu berbicara selama tahun .	aku tidak berusaha mengubah pendapatmu .
aku tidak berusaha mengubah pendapatmu .	hanya saja ...
hanya saja ...	ini nyawa orang lain .
ini nyawa orang lain .	kami tidak bisa memutuskannya dalam waktu lima menit .
kami tidak bisa memutuskannya dalam waktu lima menit .	anggap saja kami salah ?
anggap saja kami salah ?	anggap saja gedung ini jatuh menimpaku ?
anggap saja gedung ini jatuh menimpaku ?	kamu dapat beranggapan tentang apa saja .
kamu dapat beranggapan tentang apa saja .	memang benar .
memang benar .	apa bedanya berapa lama waktu yang kami habiskan ?
apa bedanya berapa lama waktu yang kami habiskan ?	anggap saja kami menghabiskan lima menit ?
anggap saja kami menghabiskan lima menit ?	lalu apa ?
lalu apa ?	mari kami ambil satu jam .
mari kami ambil satu jam .	pertandingan baseball tidak akan dimulai sampai jam delapan .
pertandingan baseball tidak akan dimulai sampai jam delapan .	siapa yang ingin bicara ?
siapa yang ingin bicara ?	aku mau duduk di sini selama satu jam .
aku mau duduk di sini selama satu jam .	bagus .
bagus .	aku pernah dengar cerita yang bagus ...
aku pernah dengar cerita yang bagus ...	bukan itu alasan kenapa kami di duduk di sini .
bukan itu alasan kenapa kami di duduk di sini .	baiklah , kamu jelaskan padaku .
baiklah , kamu jelaskan padaku .	untuk apa kami duduk di sini ?
untuk apa kami duduk di sini ?	aku tidak tahu. mungkin tanpa alasan .
